,name,city,Check_in_date,Check_out_date,pool,gym,spa,free_parking,bathtub,restuarant,Airport_transfer,Bar,Kitchen,Connecting_rooms_available,Internet_access,Pet_friendly,No of Nights,City Center,price
687,OYO 9023 Dwarka Inn,Nagpur,2021-02-24,2021-03-01,no,no,no,yes,no,no,no,no,no,no,no,no,5,13.0,15277
688,JK Rooms 137 Majestic Annexe,Nagpur,2021-02-24,2021-03-01,no,no,no,no,no,yes,yes,no,no,no,no,no,5,10.0,15750
689,OYO 18305 Trance Hospitality Services,Nagpur,2021-02-24,2021-03-01,no,no,no,no,yes,no,no,no,no,no,no,no,5,11.0,11622
690,Elita Rooms,Nagpur,2021-02-24,2021-03-01,no,no,no,yes,no,no,no,no,no,no,no,no,5,11.0,13495
691,Courtyard by Marriott Hyderabad,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,4.7,6500
692,The Westin Hyderabad Mindspace,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,9.9,7170
693,Novotel Hyderabad Airport Hotel,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,2,16.0,11599
694,Hyatt Place Hyderabad Banjara Hills,Hyderabad,2021-02-23,2021-02-25,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,3.0,7330
695,Taj Deccan,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,3.8,6900
696,Le Meridien Hyderabad,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,2,13.0,6100
697,Hyderabad Marriott Hotel & Convention Centre,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,2,4.6,7200
698,Trident Hyderabad,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,11.0,9000
699,"Vivanta Hyderabad, Begumpet",Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,2,6.1,7000
700,OYO 19460 Hotel Pearl City,Hyderabad,2021-02-23,2021-02-25,no,no,no,no,yes,no,no,no,no,no,no,no,2,2.0,1838
701,FabHotel Yesmark Gachibowli,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,no,no,no,no,2,11.0,3196
702,Mercure Hyderabad KCP Hotel,Hyderabad,2021-02-23,2021-02-25,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,2,3.4,6241
703,Taj Krishna,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,3.5,10500
704,The Park Hyderabad,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,4.0,4880
705,Taj Banjara,Hyderabad,2021-02-23,2021-02-25,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,2.9,6796
706,Park Hyatt Hyderabad,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,5.5,9397
707,Avasa Hotels,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,11.0,7800
708,Best Western Ashoka,Hyderabad,2021-02-23,2021-02-25,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,1.7,5098
709,Hill View Guest Houses - Begumpet,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,yes,no,no,no,no,no,no,2,6.0,3238
710,Welkin Hotel,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,yes,no,no,no,no,no,2,6.4,2970
711,Golkonda Resorts & Spa,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,16.0,18000
712,Hotel Gaurishree,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,no,no,no,no,2,2.3,2284
713,Aditya Park-A Sarovar Portico Hotel,Hyderabad,2021-02-23,2021-02-25,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,2,5.7,2998
714,ibis Hyderabad Hitech City Hotel,Hyderabad,2021-02-23,2021-02-25,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,2,11.0,3299
715,Marigold by Greenpark,Hyderabad,2021-02-23,2021-02-25,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,2,5.5,7000
716,Capital O 47601 Airport Palace Hotel,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,yes,no,no,no,2,16.0,4703
717,THE GRAND PLAZA A BOUTIQUE HOTEL,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,no,no,no,yes,2,1.1,3800
718,Radisson Blu Plaza Hotel Hyderabad Banjara Hills,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,4.5,5600
719,OYO 23543 Hotel Vaishnavi,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,yes,no,no,no,no,no,no,no,2,6.5,3195
720,Hotel Sri Mayuri,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,yes,yes,no,no,no,no,no,2,2.9,4140
721,Hill View,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,no,no,no,no,2,13.0,4180
722,Anmol Continental,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,no,no,no,no,2,1.9,4398
723,OYO 63371 R Square Stay,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,no,no,no,no,2,9.9,4881
724,OYO 33504 Hotel Ananda Inn,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,no,no,no,no,2,14.0,6046
725,Taj Falaknuma Palace,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,6.3,45000
726,Daspalla Hyderabad,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,8.4,7918
727,OYO 63209 Hotel Ram Ratan Grand,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,no,no,no,no,2,18.0,6588
728,OYO 71431 Hotel Polo,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,no,no,no,no,2,4.0,10259
729,Hill View Guest House - Gachibowli 2,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,no,no,no,no,2,11.0,3240
730,Lemon Tree Hotel Banjara Hills,Hyderabad,2021-02-23,2021-02-25,no,yes,no,yes,yes,yes,no,no,no,no,no,no,2,3.1,5278
731,"ITC Kakatiya, a Luxury Collection Hotel, Hyderabad",Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,2,4.9,8000
732,KP Suites,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,yes,yes,no,no,no,yes,no,2,9.9,2998
733,Gardenia Service Apartments,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,no,no,no,no,2,5.2,10259
734,Tabla Pride,Hyderabad,2021-02-23,2021-02-25,no,no,yes,yes,no,yes,no,yes,no,no,no,no,2,3.1,3678
735,Aalankrita Resort and Convention,Hyderabad,2021-02-23,2021-02-25,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,2,23.0,8390
737,The Palazzo,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,yes,yes,no,no,no,no,no,2,13.0,5000
738,Capital O 72734 Hotel Sri Mayuri,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,yes,no,no,no,2,2.8,5348
739,The Peerless Inn Hyderabad,Hyderabad,2021-02-23,2021-02-25,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,2,11.0,3400
740,OYO 28637 Gokul Grand,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,yes,no,no,no,no,no,no,no,2,6.1,3208
741,OYO 29928 Royal Emirates Banjara,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,yes,no,no,no,no,no,no,no,2,4.6,3427
742,Hotel Comfotel,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,yes,yes,yes,no,no,no,no,no,2,3.2,5500
743,The Golkonda Hyderabad,Hyderabad,2021-02-23,2021-02-25,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,2,2.1,6300
744,OYO 40125 Sri Rama Empire,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,yes,yes,no,no,no,no,no,no,2,15.0,3631
745,Hyatt Hyderabad Gachibowli,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,2,14.0,5520
746,"ITC Kohenur, a Luxury Collection Hotel, Hyderabad",Hyderabad,2021-02-23,2021-02-25,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,2,9.8,9600
747,OYO 9968 Unique Homes,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,yes,yes,no,no,no,no,no,no,2,13.0,4478
748,OYO 45408 Hotel Ambassador,Hyderabad,2021-02-23,2021-02-25,no,no,no,no,yes,no,no,no,no,no,no,no,2,6.3,2622
749,Treebo Trend Dream Connect,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,no,no,no,no,2,4.2,21000
750,Hotel Asian International,Hyderabad,2021-02-23,2021-02-25,no,no,no,no,no,no,no,no,no,no,yes,no,2,0.7,2880
751,Ellaa Hotel Gachibowli,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,14.0,5940
752,OYO 7571 Madhapur,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,yes,no,no,no,no,no,no,no,2,11.0,3576
753,Hotel B Plus L,Hyderabad,2021-02-23,2021-02-25,no,yes,no,yes,no,yes,no,no,no,yes,no,no,2,12.0,5723
754,Hotel Imperial Classic,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,yes,no,no,no,no,no,2,3.6,3500
755,Treebo Trend Srico,Hyderabad,2021-02-23,2021-02-25,no,no,no,yes,no,no,no,no,no,no,no,no,2,5.4,3538
756,Novotel Hyderabad Convention Centre Hotel,Hyderabad,2021-02-23,2021-02-25,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,2,14.0,6800
757,Courtyard by Marriott Hyderabad,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,4.7,12090
758,Le Meridien Hyderabad,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,4,13.0,12200
759,Taj Deccan,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,3.8,13800
760,Park Hyatt Hyderabad,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,5.5,15878
761,Hyatt Place Hyderabad Banjara Hills,Hyderabad,2021-02-23,2021-02-27,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,3.0,14660
762,The Westin Hyderabad Mindspace,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,9.9,12906
763,Best Western Ashoka,Hyderabad,2021-02-23,2021-02-27,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,1.7,10082
764,FabHotel Yesmark Gachibowli,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,no,no,no,no,no,no,4,11.0,6392
765,Novotel Hyderabad Airport Hotel,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,4,16.0,23999
766,OYO 40125 Sri Rama Empire,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,yes,yes,no,no,no,no,no,no,4,15.0,7357
767,Trident Hyderabad,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,11.0,18000
768,The Park Hyderabad,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,4.0,9600
769,"Vivanta Hyderabad, Begumpet",Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,4,6.1,14000
770,Taj Banjara,Hyderabad,2021-02-23,2021-02-27,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,2.9,13592
771,Hotel Gaurishree,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,no,no,no,no,no,no,4,2.3,4568
772,Mercure Hyderabad KCP Hotel,Hyderabad,2021-02-23,2021-02-27,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,4,3.4,12481
773,Taj Krishna,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,3.5,21000
774,Hyderabad Marriott Hotel & Convention Centre,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,4,4.6,14400
775,Welkin Hotel,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,yes,no,no,no,no,no,4,6.4,5940
776,Hill View Guest Houses - Begumpet,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,yes,no,no,no,no,no,no,4,6.0,6476
777,Avasa Hotels,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,11.0,16000
778,Radisson Blu Plaza Hotel Hyderabad Banjara Hills,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,4.5,10500
779,ibis Hyderabad Hitech City Hotel,Hyderabad,2021-02-23,2021-02-27,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,4,11.0,6598
780,Capital O 47601 Airport Palace Hotel,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,no,no,yes,no,no,no,4,16.0,9575
781,Aditya Park-A Sarovar Portico Hotel,Hyderabad,2021-02-23,2021-02-27,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,4,5.7,5996
782,Marigold by Greenpark,Hyderabad,2021-02-23,2021-02-27,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,4,5.5,14200
783,Hotel Sri Mayuri,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,yes,yes,no,no,no,no,no,4,2.9,8280
784,Hill View,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,no,no,no,no,no,no,4,13.0,8360
785,THE GRAND PLAZA A BOUTIQUE HOTEL,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,no,no,no,no,no,yes,4,1.1,7600
786,Anmol Continental,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,no,no,no,no,no,no,4,1.9,8796
787,Golkonda Resorts & Spa,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,16.0,36000
788,OYO 23543 Hotel Vaishnavi,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,yes,no,no,no,no,no,no,no,4,6.5,7322
789,OYO 63371 R Square Stay,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,no,no,no,no,no,no,4,9.9,9646
790,Lemon Tree Hotel Banjara Hills,Hyderabad,2021-02-23,2021-02-27,no,yes,no,yes,yes,yes,no,no,no,no,no,no,4,3.1,10717
791,Daspalla Hyderabad,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,8.4,15836
792,OYO 63209 Hotel Ram Ratan Grand,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,no,no,no,no,no,no,4,18.0,13441
793,OYO 29928 Royal Emirates Banjara,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,yes,no,no,no,no,no,no,no,4,4.6,7080
794,OYO 33504 Hotel Ananda Inn,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,no,no,no,no,no,no,4,14.0,12410
795,OYO 71431 Hotel Polo,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,no,no,no,no,no,no,4,4.0,20517
796,Gardenia Service Apartments,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,no,no,no,no,no,no,4,5.2,20517
797,The Peerless Inn Hyderabad,Hyderabad,2021-02-23,2021-02-27,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,4,11.0,6800
798,"ITC Kakatiya, a Luxury Collection Hotel, Hyderabad",Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,4,4.9,15200
799,Aditya Hometel,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,yes,yes,no,no,no,no,no,4,5.8,12533
800,Tabla Pride,Hyderabad,2021-02-23,2021-02-27,no,no,yes,yes,no,yes,no,yes,no,no,no,no,4,3.1,7357
801,Hill View Guest House - Gachibowli 2,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,no,no,no,no,no,no,4,11.0,6480
802,Capital O 72734 Hotel Sri Mayuri,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,no,no,yes,no,no,no,4,2.8,11823
803,"ITC Kohenur, a Luxury Collection Hotel, Hyderabad",Hyderabad,2021-02-23,2021-02-27,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,4,9.8,19600
804,OYO 28637 Gokul Grand,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,yes,no,no,no,no,no,no,no,4,6.1,6595
805,The Golkonda Hyderabad,Hyderabad,2021-02-23,2021-02-27,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,4,2.1,12600
807,The Palazzo,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,yes,yes,no,no,no,no,no,4,13.0,10000
808,Hotel Comfotel,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,yes,yes,yes,no,no,no,no,no,4,3.2,11000
809,KP Suites,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,yes,yes,no,no,no,yes,no,4,9.9,5996
810,OYO 9968 Unique Homes,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,yes,yes,no,no,no,no,no,no,4,13.0,8906
811,Hyatt Hyderabad Gachibowli,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,4,14.0,11040
812,Treebo Trend Srico,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,no,no,no,no,no,no,4,5.4,7167
813,Ellaa Hotel Gachibowli,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,14.0,11880
814,Novotel Hyderabad Convention Centre Hotel,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,14.0,13200
815,Hotel Asian International,Hyderabad,2021-02-23,2021-02-27,no,no,no,no,no,no,no,no,no,no,yes,no,4,0.7,5760
816,Hotel Imperial Classic,Hyderabad,2021-02-23,2021-02-27,no,no,no,yes,no,no,yes,no,no,no,no,no,4,3.6,7000
817,OYO 23323 Hotel Dove,Hyderabad,2021-02-23,2021-02-27,no,no,no,no,yes,no,no,no,no,no,no,no,4,4.0,7222
818,Taj Falaknuma Palace,Hyderabad,2021-02-23,2021-02-27,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,4,6.3,97500
819,OYO 19460 Hotel Pearl City,Hyderabad,2021-02-23,2021-02-27,no,no,no,no,yes,no,no,no,no,no,no,no,4,2.0,3625
820,Hotel B Plus L,Hyderabad,2021-02-23,2021-02-27,no,yes,no,yes,no,yes,no,no,no,yes,no,no,4,12.0,11447
821,Park Hyatt Hyderabad,Hyderabad,2021-02-23,2021-03-01,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,5.5,28192
822,Taj Banjara,Hyderabad,2021-02-23,2021-03-01,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,6,2.9,20388
823,Hotel Gaurishree,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,no,no,no,no,no,no,6,2.3,6853
824,Welkin Hotel,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,yes,no,no,no,no,no,6,6.4,8910
825,HOTEL THE CONCLAVE,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,yes,no,no,no,no,no,no,6,16.0,12000
826,Best Western Ashoka,Hyderabad,2021-02-23,2021-03-01,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,6,1.7,15293
827,Taj Krishna,Hyderabad,2021-02-23,2021-03-01,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,3.5,31500
828,Mercure Hyderabad KCP Hotel,Hyderabad,2021-02-23,2021-03-01,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,6,3.4,18720
829,Courtyard by Marriott Hyderabad,Hyderabad,2021-02-23,2021-03-01,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,4.7,17160
830,THE GRAND PLAZA A BOUTIQUE HOTEL,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,no,no,no,no,no,yes,6,1.1,11400
831,Avasa Hotels,Hyderabad,2021-02-23,2021-03-01,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,11.0,24200
832,Aditya Park-A Sarovar Portico Hotel,Hyderabad,2021-02-23,2021-03-01,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,6,5.7,8994
833,ibis Hyderabad Hitech City Hotel,Hyderabad,2021-02-23,2021-03-01,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,6,11.0,9897
834,Radisson Blu Plaza Hotel Hyderabad Banjara Hills,Hyderabad,2021-02-23,2021-03-01,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,4.5,15750
835,Capital O 47601 Airport Palace Hotel,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,no,no,yes,no,no,no,6,16.0,14127
836,Hotel Sri Mayuri,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,yes,yes,no,no,no,no,no,6,2.9,12420
837,OYO 63209 Hotel Ram Ratan Grand,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,no,no,no,no,no,no,6,18.0,21057
838,Hill View,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,no,no,no,no,no,no,6,13.0,12540
839,Anmol Continental,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,no,no,no,no,no,no,6,1.9,13194
840,Marigold by Greenpark,Hyderabad,2021-02-23,2021-03-01,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,6,5.5,21400
841,OYO 63371 R Square Stay,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,no,no,no,no,no,no,6,9.9,19172
842,OYO 29928 Royal Emirates Banjara,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,yes,no,no,no,no,no,no,no,6,4.6,10584
843,Daspalla Hyderabad,Hyderabad,2021-02-23,2021-03-01,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,8.4,23755
844,OYO 33504 Hotel Ananda Inn,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,no,no,no,no,no,no,6,14.0,19059
845,Golkonda Resorts & Spa,Hyderabad,2021-02-23,2021-03-01,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,16.0,54000
846,Capital O 72734 Hotel Sri Mayuri,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,no,no,yes,no,no,no,6,2.8,16561
847,OYO 9968 Unique Homes,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,yes,yes,no,no,no,no,no,no,6,13.0,13457
848,Hill View Guest House - Gachibowli 2,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,no,no,no,no,no,no,6,11.0,9720
849,The Peerless Inn Hyderabad,Hyderabad,2021-02-23,2021-03-01,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,6,11.0,10200
850,OYO 71431 Hotel Polo,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,no,no,no,no,no,no,6,4.0,30776
852,Gardenia Service Apartments,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,no,no,no,no,no,no,6,5.2,30776
853,The Palazzo,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,yes,yes,no,no,no,no,no,6,13.0,15000
854,The Golkonda Hyderabad,Hyderabad,2021-02-23,2021-03-01,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,6,2.1,18900
855,Lemon Tree Hotel Banjara Hills,Hyderabad,2021-02-23,2021-03-01,no,yes,no,yes,yes,yes,no,no,no,no,no,no,6,3.1,16155
856,OYO 28637 Gokul Grand,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,yes,no,no,no,no,no,no,no,6,6.1,10270
857,Hotel Comfotel,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,yes,yes,yes,no,no,no,no,no,6,3.2,16500
858,KP Suites,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,yes,yes,no,no,no,yes,no,6,9.9,8994
859,Treebo Trend Srico,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,no,no,no,no,no,no,6,5.4,10363
860,Tabla Pride,Hyderabad,2021-02-23,2021-03-01,no,no,yes,yes,no,yes,no,yes,no,no,no,no,6,3.1,11035
861,"ITC Kakatiya, a Luxury Collection Hotel, Hyderabad",Hyderabad,2021-02-23,2021-03-01,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,6,4.9,22400
862,Hotel Imperial Classic,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,no,yes,no,no,no,no,no,6,3.6,10500
863,OYO 23323 Hotel Dove,Hyderabad,2021-02-23,2021-03-01,no,no,no,no,yes,no,no,no,no,no,no,no,6,4.0,10026
864,Hyatt Hyderabad Gachibowli,Hyderabad,2021-02-23,2021-03-01,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,6,14.0,16560
865,Treebo Trend Wood Bridge,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,no,yes,no,no,no,no,no,no,6,1.7,11439
866,Novotel Hyderabad Convention Centre Hotel,Hyderabad,2021-02-23,2021-03-01,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,14.0,19600
867,OYO 19460 Hotel Pearl City,Hyderabad,2021-02-23,2021-03-01,no,no,no,no,yes,no,no,no,no,no,no,no,6,2.0,6877
868,Ellaa Hotel Gachibowli,Hyderabad,2021-02-23,2021-03-01,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,14.0,17820
869,"ITC Kohenur, a Luxury Collection Hotel, Hyderabad",Hyderabad,2021-02-23,2021-03-01,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,6,9.8,29600
870,Hotel Asian International,Hyderabad,2021-02-23,2021-03-01,no,no,no,no,no,no,no,no,no,no,yes,no,6,0.7,8640
871,Hotel B Plus L,Hyderabad,2021-02-23,2021-03-01,no,yes,no,yes,no,yes,no,no,no,yes,no,no,6,12.0,17170
872,Taj Falaknuma Palace,Hyderabad,2021-02-23,2021-03-01,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,6,6.3,157500
873,Lemon Tree Hotel Gachibowli Hyderabad,Hyderabad,2021-02-23,2021-03-01,no,no,no,yes,yes,no,yes,no,no,yes,no,no,6,15.0,10747
874,OYO 6749 The Royal Nest,Hyderabad,2021-02-23,2021-03-01,no,no,no,no,yes,no,no,no,no,no,no,no,6,9.6,12328
